Ost;Nord
1620458;6582599
1609014;7098405
1682520;7660790
1682520;7660790
1691237;7630869
1622577;7587685
1619958;7588188
1622577;7587685
1619958;7588188
1276953;6408334
1276953;6408334
1873545;7342595
1366103;6587247
1231889;6520337
1691570;7604922
1708473;7606529
1708146;7605182
1572807;6614462
1326184;7012393
1630759;6701068
1460700;6749430
1351505;6522008
1257270;6509705
1676431;7495857
1473505;6537095
1474400;7261900
1622104;6534022
1320916;6942199
1232345;6520743
1711204;7103055
1667634;7165213
1348056;6997673
1467900;7274300
1425500;7203600
1335535;6839810
1445310;6576794
1663144;7244857
1663940;7242167
1599723;6632061
1588147;6933987
1350638;7098089
1559086;6421624
1524728;7065454
1332884;6946146
1337712;6950566
1446150;6576388
1603308;7596153
1759795;7283519
1516930;7255434
1516930;7255434
1790242;7379325
1572421;6614152
1446242;6581370
1763288;7143103
1538630;7278220
1445447;6580458
1540100;7169900
1722080;7069020
1667592;7558725
1561393;7509153
1570650;7515223
1698437;7122218
1726923;7097309
1710130;7456735
1477510;6432610
1659311;7037558
1619005;6517160
1626960;7587260
1314922;7028801
1397862;6711970
1698650;7122680
1611121;6626521
1446235;6581406
1593348;7327771
1629776;7531231
1625557;7531897
1402031;6280448
1308274;6538677
1691408;7068934
1509055;7320000
1504412;7407248
1709218;7459592
1445884;6576475
1722170;7068320
1620726;7588120
1621274;7588621
1257482;6398496
1259394;6399130
1259650;6399098
1259394;6399130
1259650;6399100
1259650;6399098
1259650;6399098
1259650;6399098
1259394;6399130
1259650;6399098
